n2,h1,blanks,calculated_length,lloc,multi_comments,difficulty,h2,scloc,smell_type,time,comments,bugs,volume,vocabulary,single_comments,loc,n1,effort,length,avg_params,avg_complexity,avg_func_length,max_func_length,maintainability_index
80,9,2,419.9832329,86,5,5.538461538,65,81,LongMethod,235.0039274,9,0.254587588,763.762764,74,7,95,43,4230.070693,123,0,0,0,0,0
34,7,1,166.8582023,45,0,3.966666667,30,42,LongMethod,58.54846755,3,0.088560707,265.6821216,37,2,45,17,1053.872416,51,0,0,0,0,0
235,10,7,1161.018564,144,0,7.580645161,155,96,LongMethod,1132.341018,0,0.896235869,2688.707608,165,0,103,130,20382.13832,365,0,0,0,0,0
29,8,1,158.6059378,48,0,4.142857143,28,54,LongMethod,53.5456518,2,0.077548875,232.6466251,36,1,56,16,963.8217324,45,0,0,0,0,0
299,10,8,1968.319191,317,0,6.12704918,244,305,LongMethod,1237.273006,14,1.211617177,3634.851532,254,10,323,156,22270.9141,455,0,0,0,0,0
84,8,1,378.4134357,67,0,5.6,60,67,LongMethod,240.5224207,2,0.257702594,773.1077808,68,2,70,43,4329.403573,127,0,0,0,0,0
145,6,1,861.0597302,113,5,3.56557377,122,111,LongMethod,302.2814208,3,0.508666667,1526.0,128,3,120,73,5441.065574,218,0,0,0,0,0
31,4,6,130.2114327,127,0,2.384615385,26,132,LongMethod,29.90267517,0,0.075238989,225.7169674,30,0,138,15,538.248153,46,0,0,0,0,0
98,8,2,415.4539078,137,0,6.030769231,65,93,LongMethod,315.2260739,0,0.313617778,940.8533329,73,0,95,54,5674.069331,152,0,0,0,0,0
76,12,21,304.085226,149,3,9.70212766,47,145,LongMethod,364.6404273,6,0.225501317,676.5039507,59,5,174,39,6563.527692,115,0,0,0,0,0
119,8,4,786.4237513,155,0,4.25,112,153,LongMethod,296.8044375,5,0.419018029,1257.054088,120,5,162,63,5342.479876,182,0,0,0,0,0
56,6,2,290.6305574,46,0,3.428571429,49,46,LongMethod,92.50175542,0,0.161878072,485.6342159,55,0,48,28,1665.031597,84,0,0,0,0,0
55,6,10,276.575451,96,0,3.510638298,47,89,LongMethod,93.84039894,4,0.160381773,481.1453182,53,4,103,29,1689.127181,84,0,0,0,0,0
31,5,11,133.8210731,66,0,2.980769231,26,64,LongMethod,39.37950913,4,0.079267141,237.8014229,31,4,79,17,708.8311644,48,0,0,0,0,0
57,13,19,201.685802,69,72,11.9516129,31,70,LongMethod,318.9951765,3,0.160143327,480.4299824,44,3,164,31,5741.913177,88,0,0,0,0,0
79,15,27,340.7961684,95,43,11.85,50,98,LongMethod,483.6965082,28,0.244909624,734.7288732,65,26,194,43,8706.537147,122,0,0,0,0,0
84,11,30,327.3474402,77,39,9.058823529,51,80,LongMethod,395.5454333,22,0.261984638,785.953913,62,21,170,48,7119.8178,132,0,0,0,0,0
22,5,6,75.60964047,70,42,3.4375,16,73,LongMethod,28.51956104,16,0.049779597,149.3387924,21,16,137,12,513.3520988,34,0,0,0,0,0
24,8,5,93.4868683,47,34,5.647058824,17,47,LongMethod,55.36205026,4,0.058822178,176.4665352,25,4,90,14,996.5169047,38,0,0,0,0,0
113,13,11,395.1816562,89,44,12.44915254,59,87,LongMethod,742.4999293,26,0.35785565,1073.56695,72,26,168,61,13364.99873,174,0,0,0,0,0
56,9,12,144.6257298,53,46,10.08,25,53,LongMethod,245.0122104,3,0.145840601,437.5218043,34,3,114,30,4410.219788,86,0,0,0,0,0
6,3,5,20.26466251,13,0,1.5,6,13,LongMethod,2.377443751,2,0.009509775,28.52932501,9,2,20,3,42.79398752,9,0,0,0,0,0
60,10,3,174.1007298,77,3,10.34482759,29,77,LongMethod,282.4956358,6,0.163847469,491.5424064,39,6,89,33,5084.921445,93,0,0,0,0,0
78,13,15,316.1839164,44,74,10.5625,48,42,LongMethod,414.1425646,0,0.235252581,705.7577432,61,0,131,41,7454.566162,119,0,0,0,0,0
66,13,15,274.5830481,44,74,10.21428571,42,42,LongMethod,331.3499141,0,0.19463911,583.9173311,55,0,131,35,5964.298453,101,0,0,0,0,0
18,3,2,52.86060384,42,0,2.076923077,13,42,LongMethod,12.46153846,1,0.036,108.0,16,1,45,9,224.3076923,27,0,0,0,0,0
21,7,15,100.3621072,44,52,3.868421053,19,45,LongMethod,33.33601326,6,0.051704837,155.1145107,26,6,118,12,600.0482388,33,0,0,0,0,0
60,14,11,300.4363582,56,2,9.333333333,45,69,LongMethod,289.7746391,4,0.186283697,558.8510897,59,4,86,35,5215.943504,95,0,0,0,0,0
21,8,22,110.4385619,58,0,4.2,20,71,LongMethod,35.89491675,8,0.051278453,153.8353575,28,8,101,11,646.1085015,32,0,0,0,0,0
249,13,20,885.288168,95,16,13.37603306,121,112,LongMethod,1984.841095,30,0.890327238,2670.981714,134,6,154,129,35727.1397,378,0,0,0,0,0
7,3,7,20.26466251,29,13,1.75,6,53,LongMethod,3.390058682,4,0.011623058,34.86917502,9,2,75,4,61.02105628,11,0,0,0,0,0
32,5,16,109.7171361,53,5,3.636363636,22,53,LongMethod,46.10800002,20,0.0760782,228.2346001,27,20,94,16,829.9440004,48,0,0,0,0,0
12,3,3,33.28421252,44,5,2.0,9,41,LongMethod,7.169925001,2,0.021509775,64.52932501,12,2,51,6,129.05865,18,0,0,0,0,0
34,9,11,169.4107739,53,10,5.275862069,29,75,LongMethod,81.52383948,16,0.092713386,278.1401582,38,16,112,19,1467.429111,53,0,0,0,0,0
56,9,18,208.0542306,50,28,7.2,35,47,LongMethod,185.620675,3,0.154683896,464.0516876,44,3,96,29,3341.172151,85,0,0,0,0,0
49,8,29,190.4650059,86,42,5.939393939,33,88,LongMethod,134.3536947,4,0.135724651,407.1739524,41,4,163,27,2418.366505,76,0,0,0,0,0
182,11,36,654.1850999,87,22,10.64893617,94,109,LongMethod,1096.32677,11,0.617710588,1853.131763,105,11,178,94,19733.88186,276,0,0,0,0,0
43,8,14,171.2067179,52,0,5.733333333,30,52,LongMethod,110.3230984,21,0.115454405,346.3632159,38,22,88,23,1985.815771,66,0,0,0,0,0
16,6,20,74.11313394,36,24,3.2,15,40,LongMethod,20.3022672,5,0.038066751,114.200253,21,5,89,10,365.4408096,26,0,0,0,0,0
12,1,4,19.65148445,20,0,0.857142857,7,51,LongMethod,2.571428571,2,0.018,54.0,8,2,57,6,46.28571429,18,0,0,0,0,0
41,2,12,21.65148445,62,0,5.857142857,7,70,LongMethod,82.51868258,13,0.084531333,253.5940001,9,11,93,39,1485.336286,80,0,0,0,0,0
96,7,10,426.0794602,72,0,5.014925373,67,76,LongMethod,250.8495589,10,0.300123579,900.370738,74,9,95,49,4515.292059,145,0,0,0,0,0
26,5,8,70.21299941,36,0,4.333333333,15,40,LongMethod,41.61856684,9,0.057625708,172.8771238,20,9,57,14,749.1342031,40,0,0,0,0,0
46,6,5,156.3912239,42,0,4.75862069,29,46,LongMethod,94.92121445,5,0.11968327,359.0498112,35,5,56,24,1708.58186,70,0,0,0,0,0
63,10,24,329.6421463,69,33,6.057692308,52,76,LongMethod,188.3587102,15,0.186564818,559.6944532,62,14,147,31,3390.456784,94,0,0,0,0,0
24,4,15,61.30296891,47,9,3.428571429,14,44,LongMethod,28.59377144,0,0.0500391,150.1173001,18,0,68,12,514.6878859,36,0,0,0,0,0
100,11,21,320.2465573,60,0,11.0,50,54,LongMethod,558.1482805,2,0.304444517,913.33355,61,2,77,54,10046.66905,154,0,0,0,0,0
42,6,6,162.7164929,35,28,4.2,30,42,LongMethod,75.99789752,0,0.108568425,325.7052751,36,0,76,21,1367.962155,63,0,0,0,0,0
36,8,20,140.0964047,149,0,5.76,25,143,LongMethod,87.16713038,18,0.090799094,272.3972824,33,18,181,18,1569.008347,54,0,0,0,0,0
43,12,45,209.4845559,48,177,7.818181818,33,79,LongMethod,155.0477718,9,0.11899015,356.9704513,45,9,310,22,2790.859892,65,0,0,0,0,0
122,16,22,389.2118756,98,28,17.42857143,56,157,LongMethod,1099.226003,27,0.378422067,1135.2662,72,27,234,62,19786.06806,184,0,0,0,0,0
39,9,38,156.9112876,38,231,6.5,27,47,LongMethod,115.7488764,0,0.106845117,320.5353501,36,0,316,23,2083.479776,62,0,0,0,0,0
64,11,9,264.5310796,50,44,8.380952381,42,51,LongMethod,258.6959206,2,0.185202761,555.6082841,53,2,106,33,4656.526571,97,0,0,0,0,0
78,11,11,285.1871371,50,31,9.533333333,45,52,LongMethod,362.9381739,10,0.228422627,685.2678808,56,10,104,40,6532.88713,118,0,0,0,0,0
25,5,19,115.6515655,42,0,2.717391304,23,67,LongMethod,30.48141708,19,0.067302969,201.9089067,28,10,96,17,548.6655074,42,0,0,0,0,0
122,17,15,528.9864174,95,96,14.01351351,74,100,LongMethod,967.702223,0,0.414329592,1242.988776,91,0,211,69,17418.64001,191,0,0,0,0,0
122,16,17,485.4881875,81,108,14.14492754,69,84,LongMethod,956.9705758,0,0.405928093,1217.784278,85,0,209,68,17225.47037,190,0,0,0,0,0
217,16,10,951.5629552,92,79,13.66929134,127,101,LongMethod,1816.039037,1,0.797132342,2391.397026,143,0,190,117,32688.70266,334,0,0,0,0,0
78,10,26,365.6940118,48,40,6.842105263,57,62,LongMethod,283.6162753,8,0.248709657,746.1289704,67,8,136,45,5105.092956,123,0,0,0,0,0
308,9,10,1314.720008,111,0,8.011560694,173,87,LongMethod,1610.660637,14,1.206252339,3618.757017,182,14,111,174,28991.89147,482,0,0,0,0,0
45,8,39,264.2149912,72,0,4.090909091,44,74,LongMethod,88.09770473,1,0.129209967,387.6299008,52,1,114,23,1585.758685,68,0,0,0,0,0
14,5,17,54.62919048,42,0,2.916666667,12,41,LongMethod,14.57104809,0,0.029974728,89.92418251,17,1,59,8,262.2788656,22,0,0,0,0,0
21,5,14,92.32026323,67,0,2.763157895,19,64,LongMethod,22.52262281,33,0.048906267,146.7188,24,34,112,11,405.4072106,32,0,0,0,0,0
12,1,6,28.52932501,48,0,0.666666667,9,41,LongMethod,2.21461873,17,0.019931569,59.79470571,10,16,63,6,39.86313714,18,0,0,0,0,0
4,1,10,0.0,47,0,2.0,1,45,LongMethod,0.888888889,17,0.002666667,8.0,2,17,72,4,16.0,8,0,0,0,0,0
47,11,15,237.4749933,45,44,6.802631579,38,54,LongMethod,152.77921,0,0.134753036,404.2591088,49,0,113,25,2750.025779,72,0,0,0,0,0
97,14,29,452.2329808,77,67,10.28787879,66,96,LongMethod,527.5404207,15,0.307667167,923.0015019,80,15,207,49,9495.727572,146,0,0,0,0,0
51,15,20,238.1282645,60,60,10.92857143,35,66,LongMethod,270.7035308,16,0.148621546,445.864639,50,12,158,28,4872.663555,79,0,0,0,0,0
56,9,15,268.7443162,61,47,5.727272727,44,60,LongMethod,154.9142123,1,0.16229108,486.8732386,53,0,122,29,2788.455821,85,0,0,0,0,0
67,14,20,293.5179601,67,57,10.65909091,44,62,LongMethod,360.7687892,1,0.203076674,609.2300235,58,1,140,37,6493.838205,104,0,0,0,0,0
137,8,2,769.9495685,43,0,4.981818182,110,50,LongMethod,394.3128772,4,0.47490237,1424.707111,118,4,56,70,7097.63179,207,0,0,0,0,0
84,14,14,356.882753,68,39,11.09433962,53,67,LongMethod,474.833623,17,0.256797776,770.3933272,67,17,137,43,8547.005215,127,0,0,0,0,0
55,11,14,198.0537478,51,20,9.453125,32,45,LongMethod,242.2271398,10,0.153744168,461.2325041,43,10,89,30,4360.088516,85,0,0,0,0,0
81,14,14,335.4957784,79,14,11.34,50,82,LongMethod,461.16,7,0.244,732.0,64,4,114,41,8300.88,122,0,0,0,0,0
69,11,4,334.4766131,77,40,7.298076923,52,83,LongMethod,252.0419701,0,0.207212371,621.637112,63,0,127,35,4536.755462,104,0,0,0,0,0
29,8,27,104.7106228,46,77,6.105263158,19,45,LongMethod,70.96182986,10,0.06973835,209.2150501,27,10,159,15,1277.312937,44,0,0,0,0,0
27,10,28,97.21928095,62,58,8.4375,16,61,LongMethod,92.53990695,5,0.065806156,197.4184682,26,6,153,15,1665.718325,42,0,0,0,0,0
85,15,15,347.8970514,85,2,12.5,51,84,LongMethod,549.871965,10,0.263938543,791.8156296,66,10,111,46,9897.69537,131,0,0,0,0,0
49,13,3,188.9871652,63,0,10.98275862,29,70,LongMethod,253.3407828,0,0.138402814,415.2084416,42,0,73,28,4560.134091,77,0,0,0,0,0
45,9,15,188.529325,73,47,6.328125,32,74,LongMethod,131.8460064,1,0.125009547,375.0286403,41,1,137,25,2373.228115,70,0,0,0,0,0
45,8,13,158.6059378,73,29,6.428571429,28,74,LongMethod,134.7873304,1,0.125801508,377.4045251,36,1,117,28,2426.171947,73,0,0,0,0,0
66,5,10,211.030886,50,10,4.342105263,38,57,LongMethod,129.5877701,1,0.179066737,537.2002107,43,1,78,33,2332.579862,99,0,0,0,0,0
66,9,18,255.0066568,94,35,7.071428571,42,97,LongMethod,222.8452813,9,0.189080845,567.2425342,51,9,159,34,4011.215063,100,0,0,0,0,0
55,15,21,244.720659,51,38,11.45833333,36,59,LongMethod,299.7062695,6,0.156937101,470.8113034,51,5,123,28,5394.712851,83,0,0,0,0,0
70,11,9,292.1375978,53,3,8.369565217,46,54,LongMethod,282.0639084,20,0.202206854,606.6205615,57,18,84,34,5077.150351,104,0,0,0,0,0
35,10,10,143.258381,47,33,7.291666667,24,61,LongMethod,113.3491432,0,0.093270152,279.8104563,34,0,104,20,2040.284577,55,0,0,0,0,0
54,12,18,255.8966738,53,97,8.1,40,76,LongMethod,212.9114235,1,0.157712166,473.1364966,52,0,191,29,3832.405623,83,0,0,0,0,0
37,11,23,198.0537478,53,74,6.359375,32,54,LongMethod,107.3571409,7,0.101290275,303.8708263,43,7,158,19,1932.428536,56,0,0,0,0,0
45,11,28,198.0537478,66,32,7.734375,32,81,LongMethod,158.5486733,5,0.122995334,368.9860033,43,5,146,23,2853.876119,68,0,0,0,0,0
138,14,21,551.301648,112,16,12.2278481,79,116,LongMethod,959.5180878,5,0.470819434,1412.458303,93,3,156,78,17271.32558,216,0,0,0,0,0
88,15,12,457.5333708,101,17,10.0,66,106,LongMethod,468.4444724,5,0.281066683,843.2000504,81,3,138,45,8432.000504,133,0,0,0,0,0
66,13,11,337.3994088,75,17,8.411764706,51,82,LongMethod,280.3921569,1,0.2,600.0,64,1,111,34,5047.058824,100,0,0,0,0,0
117,13,14,561.6335666,115,16,9.388888889,81,122,LongMethod,611.9841585,11,0.391090468,1173.271404,94,5,157,62,11015.71485,179,0,0,0,0,0
186,15,19,698.7949046,98,10,14.3814433,97,104,LongMethod,1517.443627,5,0.633084008,1899.252023,112,3,136,93,27313.98528,279,0,0,0,0,0
84,9,5,324.9521904,56,8,7.269230769,52,57,LongMethod,304.1783938,1,0.251067881,753.2036419,61,0,70,43,5475.211089,127,0,0,0,0,0
132,7,6,388.8116557,68,28,7.451612903,62,67,LongMethod,500.7019563,1,0.403162614,1209.487842,69,0,101,66,9012.635213,198,0,0,0,0,0
92,12,11,339.4424154,82,18,10.61538462,52,88,LongMethod,491.8461538,3,0.278,834.0,64,3,120,47,8853.230769,139,0,0,0,0,0
33,11,27,118.7643706,61,132,9.552631579,19,63,LongMethod,135.4129633,4,0.08505277,255.158311,30,4,226,19,2437.433339,52,0,0,0,0,0
24,7,21,111.8901503,45,53,4.0,21,79,LongMethod,39.52714047,2,0.059290711,177.8721321,28,2,155,13,711.4885285,37,0,0,0,0,0
195,18,46,1038.953596,155,15,12.90441176,136,172,LongMethod,1552.474139,44,0.72183413,2165.502389,154,44,277,103,27944.53451,298,0,0,0,0,0
43,8,19,243.6596322,72,61,4.195121951,41,78,LongMethod,88.98326062,3,0.127266756,381.8002694,49,3,161,25,1601.698691,68,0,0,0,0,0
96,12,8,332.3132424,52,53,11.29411765,51,52,LongMethod,540.0648213,6,0.286909436,860.728309,63,6,119,48,9721.166784,144,0,0,0,0,0
20,5,56,81.09650878,50,217,2.941176471,17,57,LongMethod,22.58862421,10,0.046080793,138.2423802,22,10,340,11,406.5952358,31,0,0,0,0,0
61,12,20,235.7693245,63,81,9.891891892,37,63,LongMethod,290.042759,15,0.175927575,527.7827253,49,15,179,33,5220.769662,94,0,0,0,0,0
213,15,59,870.7552388,189,124,13.53813559,118,194,LongMethod,1798.872807,57,0.797246915,2391.740746,133,57,434,126,32379.71052,339,0,0,0,0,0
106,9,58,472.7639251,78,263,6.625,72,96,LongMethod,373.3467224,10,0.338125333,1014.376,81,10,427,54,6720.241003,160,0,0,0,0,0
34,7,28,135.7478892,39,106,4.76,25,45,LongMethod,68.75555556,2,0.086666667,260.0,32,2,181,18,1237.6,52,0,0,0,0,0
57,13,30,323.2264987,61,43,7.56122449,49,64,LongMethod,215.1004048,13,0.170686961,512.0608827,62,13,150,29,3871.807286,86,0,0,0,0,0
24,7,8,106.0900464,31,20,4.2,20,38,LongMethod,41.05052877,8,0.058643613,175.9308376,27,8,74,13,738.9095178,37,0,0,0,0,0
62,9,27,268.7443162,46,46,6.340909091,44,48,LongMethod,187.6544849,5,0.177565534,532.6966023,53,5,126,31,3377.780728,93,0,0,0,0,0
51,10,52,246.0964047,77,119,6.375,40,75,LongMethod,161.9081244,25,0.152384117,457.1523514,50,20,266,30,2914.34624,81,0,0,0,0,0
82,15,24,369.3672841,68,75,11.38888889,54,72,LongMethod,479.2552213,5,0.252485678,757.4570326,69,5,176,42,8626.593983,124,0,0,0,0,0
165,10,22,689.5255863,58,59,8.333333333,99,68,LongMethod,783.3546672,13,0.56401536,1692.046081,109,5,154,85,14100.38401,250,0,0,0,0,0
164,8,22,688.385619,52,59,6.56,100,62,LongMethod,608.0599621,7,0.556152404,1668.457213,108,3,146,83,10945.07932,247,0,0,0,0,0
104,8,19,393.1601712,41,57,6.709677419,62,46,LongMethod,358.7058534,5,0.320765811,962.2974337,70,1,123,53,6456.705361,157,0,0,0,0,0
136,12,17,517.862041,45,10,10.73684211,76,51,LongMethod,801.4228142,2,0.447853926,1343.561777,88,2,80,72,14425.61065,208,0,0,0,0,0
69,15,37,291.9327434,41,75,12.03488372,43,45,LongMethod,407.3340273,16,0.203076674,609.2300235,58,16,173,35,7332.012492,104,0,0,0,0,0
107,17,32,475.9148441,55,81,13.57462687,67,57,LongMethod,785.7806546,8,0.347315913,1041.94774,84,8,178,56,14144.05178,163,0,0,0,0,0
82,12,20,325.2123595,68,42,9.84,50,70,LongMethod,406.8700812,23,0.248091513,744.2745388,62,23,155,43,7323.661462,125,0,0,0,0,0
112,12,9,311.09775,78,6,14.0,48,84,LongMethod,776.4279527,24,0.332754837,998.2645107,60,24,123,57,13975.70315,169,0,0,0,0,0
64,12,16,276.3489345,57,53,8.930232558,43,57,LongMethod,275.3540626,5,0.185003511,555.0105325,55,5,131,32,4956.373127,96,0,0,0,0,0
193,18,37,707.2150501,154,68,18.09375,96,154,LongMethod,2122.359697,18,0.703787671,2111.363014,114,18,277,116,38202.47454,309,0,0,0,0,0
126,8,7,408.0,46,13,7.875,64,45,LongMethod,515.5743579,5,0.392818558,1178.455675,72,4,69,65,9280.338443,191,0,0,0,0,0
80,10,13,225.9690555,64,27,10.81081081,37,54,LongMethod,407.0029068,14,0.225886613,677.6598399,47,13,107,42,7326.052323,122,0,0,0,0,0
28,8,15,104.7106228,45,38,5.894736842,19,49,LongMethod,70.07202635,18,0.071323313,213.9699376,27,18,120,17,1261.296474,45,0,0,0,0,0
62,8,25,264.2149912,68,35,5.636363636,44,62,LongMethod,164.218728,3,0.174813485,524.4404541,52,3,125,30,2955.937105,92,0,0,0,0,0
39,5,15,197.7269405,55,0,2.708333333,36,63,LongMethod,47.56067578,5,0.105365189,316.0955683,41,5,83,20,856.0921641,59,0,0,0,0,0
56,16,12,270.1306865,62,35,11.48717949,39,64,LongMethod,313.60994,7,0.163805192,491.4155756,55,7,118,29,5644.97892,85,0,0,0,0,0
23,8,13,67.01955001,46,34,7.666666667,12,41,LongMethod,68.11038535,15,0.05330378,159.9113395,20,15,103,14,1225.986936,37,0,0,0,0,0
36,8,20,164.8814489,69,32,4.965517241,29,73,LongMethod,80.47707268,8,0.097243129,291.7293885,37,5,130,20,1448.587308,56,0,0,0,0,0
53,10,37,259.6966127,62,123,6.30952381,42,73,LongMethod,159.8536006,3,0.152011726,456.0351775,52,3,236,27,2877.36481,80,0,0,0,0,0
59,9,46,255.0066568,87,145,6.321428571,42,102,LongMethod,177.2970564,8,0.168281952,504.8458554,51,8,301,30,3191.347015,89,0,0,0,0,0
20,6,15,84.99664331,54,0,3.529411765,17,65,LongMethod,26.60918798,12,0.04523562,135.7068587,23,12,92,10,478.9653836,30,0,0,0,0,0
2,1,24,2.0,10,122,0.5,2,13,LongMethod,0.132080208,0,0.001584963,4.754887502,3,0,159,1,2.377443751,3,0,0,0,0,0
93,15,35,427.7635302,91,76,11.25,62,92,LongMethod,560.0940471,59,0.298716825,896.1504753,77,57,260,50,10081.69285,143,0,0,0,0,0
268,15,69,1177.688486,167,93,13.05194805,154,177,LongMethod,2151.941859,40,0.989250885,2967.752654,169,38,377,133,38734.95347,401,0,0,0,0,0
281,14,50,1154.987951,177,141,12.94078947,152,182,LongMethod,2248.114724,33,1.042338906,3127.016719,166,33,406,143,40466.06504,424,0,0,0,0,0
162,14,87,637.5697476,181,151,12.6,90,192,LongMethod,1139.744796,16,0.542735617,1628.206852,104,16,446,81,20515.40633,243,0,0,0,0,0
36,6,7,137.7212077,45,31,4.153846154,26,57,LongMethod,64.61538462,0,0.093333333,280.0,32,0,95,20,1163.076923,56,0,0,0,0,0
121,7,24,611.8607967,67,28,4.653846154,91,79,LongMethod,311.2588466,2,0.401292397,1203.877192,98,2,133,61,5602.659238,182,0,0,0,0,0
23,3,18,96.99355338,59,0,1.642857143,21,60,LongMethod,14.64640799,8,0.053491229,160.4736875,24,8,86,12,263.6353438,35,0,0,0,0,0
